西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,"從大學吃到現在的優質好店，麵條彈牙不死硬，調味配料都很新鮮美味；非常感謝老闆娘香香阿姨還特別有做吃素的餐點，最愛素食咖喱/奶汁菌菇、素食玻璃麵。

吃完麵後剩下的湯汁拿去沾剛烤好的吐司，一面有可口的調味搭配上另一面酥脆的口感，堪稱完美空盤就是對店家手藝最高的致敬

謝謝老闆娘和老闆堅持給客人最好的品質，來師大必吃的好店","堤香在泰順街的新民小學附近的巷內，算是價格親民的義大利麵店，麵量足夠吐司和紅茶自助式可自取，＄＄120～140左右。

若要省荷包又要吃得飽，可以。但美味度就不能太期待了，尚可而已。

用餐區有一樓及B1，但1樓較為舒適。內部裝潢有鄉村樸實風，簡單舒適",生意很好，麵量很大，個人覺得口味中規中矩，沒有特別讓人驚艷的地方。,"土司吃到飽，義大利麵水準尚可
吃飽絕對沒問題
口味就一般般","蒜香培根在同價位區間沒有對手
不要輕易加辣，小辣就是大辣..."
西式/美式,早午餐,ChIJDaM7WI6pQjQR9A52NpFPC84,歐吧早午餐,"每次都點打拋豬蛋餅（40元），古早味的粉漿餅皮吃起來很Q嫩，超級喜歡！
每次都想換個口味吃但打拋豬口味真的太讚了！
老闆也很親切～師大附近最好吃的早餐店～",我買了熱鮮奶茶、巧克力香蕉吐司跟玉米蛋餅，鮮奶茶不但可以選無糖的，還是用主恩鮮奶，每一樣都好美味，而且這樣一共才70元，這價格也太佛心了吧！大推,"平價好吃的特別早餐，打拋豬燒餅跟蛋餅都好吃，價格是可以每天吃也不心疼荷包，下次會再想吃看看其他餐點
若早餐店可以更注重環境整潔及美觀，一定會有更多客人","是這附近最好吃的蛋餅！
份量足夠 老闆態度親切",熱壓吐司外脆內軟，打拋豬肉口味獨特，蛋餅為粉漿蛋餅，奶茶不會太甜，都不錯吃
西式/美式,早午餐,ChIJwcjRCZCpQjQRMAe12OnGfPM,巴和奈野 Brunch Cafe',"份量超沒誠意，四個人包含女生沒人吃飽，早午餐盤寫了很多樣，但香草雞胸肉給的是夾在早餐店三明治裡那種薄薄調味雞肉片！薯條用幾根來計算，大概是七根吧，誇張！這份量真的差不多是夾成一個三明治還不算厚，只有優格稍微多，我是吃點心還是吃早午餐盤？味道也無驚喜之處，紅茶的香精味很重。
店員臉也是奇臭，莫名不耐煩。
Google照片上那舊菜單該從撤了吧","餐點普普，今天過去用餐時，其他比我晚來的客人都上餐了，唯獨我的還沒來。詢問店員還要多久才能出餐，店員找尋單子，也沒跟我說餐點是否遺漏或是表示歉意說漏單了。後來再問一次是否漏單，店員直接說要出餐了，餐點才上來，過了一會兒又補上漏掉的兩片雞腿排。
覺得服務實在有點慢半拍，漏單就說聲“抱歉，馬上製作”，這樣應該沒有很難吧？不回答我怎麼知道到底餐點是做了還是沒做？令人無言的消費經驗。
地板有塌陷處請盡快維修，不然有點危險......","環境還不錯,適合姊妹聚會聊天,半自助式的不收服務費,餐點算一般,法式木拼盤還蠻豐富的,配料有脆片,吐司,起司歐姆蛋,優格,蔬菜沙拉,奇異果...等等,還不錯,但飲料就比較一般,咖啡偏淡","剛好用餐時段是中午，客人很多
服務人員很有耐心的為我們點餐、安排位置
第一次吃早午餐裡面有雞蛋仔，很好吃
優格也好吃酸甜酸甜
值得再訪的店","古亭站附近，巷弄間的咖啡館，老闆娘非常有品味，不計成本堅持用高檔食材，例如雞蛋，奶油，糖…等等，早餐組合設計的別出心裁，令人滿意。

已經回訪好幾次了。"
西式/美式,早午餐,ChIJ4cI98NepQjQR3Uy-HdOy5k8,鱷吐司 A Toast,外送包裝用心，星星鱈魚塊好吃！,餐點很特別，排骨必點，一定要吃吃看！,可以在早上吃到排骨很特別，口味也不錯，但吐司普普,雖然是很好吃沒錯，但是櫃檯人員服務有夠差,"從開慕每天中午買2~3個(會打電話先訂)，到現在失望不買了！

口感和之前不同了，唉~~

有時排骨炸的過老，有時蛋會過鹹，反應一下，裏面廚房大嬸還會說不可能，從天天來到失望不來，問問你的員工便知1個月前有有這事。。真的口感了。

公館商圈商家潮起潮落，店家更換率高，老的有名店家，始終生意興隆，就是品質穩定口感佳。公館辛巴克咖啡做的很好，我們一買4、5年，每日2、3杯從不間。

老客戶的經營很重要，當下不過是意見的反應，卻遭到廚房大嬸很大的質疑？我看的出你們很用心經營""g o o g l e我的商家""、臉書、部落容，但落實品質穩定及員工禮儀及顧客意見更為重要。生意方可長久！這些市場上花個小錢，找個協力廠家，便可經營的有聲有色，但重點是顧客意見及員工訓練、品質穩定真的落實嗎？不要落個有名無實的店家。

現在都改買汀州路上""厚蛋起士三明治""，真的對貴店失望且不會再來的客人！"
西式/美式,早午餐,ChIJRfDt-IapQjQRUOPVFCgMI_0,Cafe Bastille,"禮拜一晚上10點左右初次造訪，點了圓圓的、造型是盆地狀的起司蛋糕（原諒我沒記清楚他的名字……），外觀特別、擺盤美麗、味道更是棒！
男友點了千層麵，不管是麵本體，或是盤裡附的大蒜麵包，都非常對我們的胃口。
另外點的柳橙蔓越莓汁，以及點套餐附的甜點——焦糖奶酪，也都非常好吃，奶酪的味道不會太奶，很適合我。
很棒的用餐體驗，一定再來！
另外，服務讓人感到舒適，沒什麼問題，辛苦你們了！也謝謝你們開到這麼晚，讓剛下班的我有美味的食物可以吃。",餐點平價好吃，且不限時，適合朋友聚會的好地方，願意再訪。,"以前來的時候環境整潔、餐點美味、闆娘服務態度佳
但本次造訪一進門就聞到一股濃郁霉味，希望衛生環境能有所改善",為了蜜糖吐司而去，老闆娘也熱情聊天願意分享，也不會趕客人。裝潢有國外氛圍是我會喜歡的呦！,"咖哩雞飯非常好吃，肉的份量超級多的！
雖然啤酒價位高了點，但擋不住親切可愛店員的熱情推薦，就拿了潑婦跟小矮人小酌一番。"
西式/美式,早午餐,ChIJ7-vZNXGpQjQR_4yTwlFtc5g,MWD麥味登台大店,"是在Uber Eats上點餐的。

到目前為止，點過將近一半的漢堡，跟超過一半的滿分堡。都還滿好吃的。份量夠，食材也新鮮。

如果你也喜歡吃麥當勞早餐的薯餅跟滿福堡的話，那麼，強烈推薦麥味登的火腿薯餅滿分堡。

最重要的是，營業時間夠長，基本上涵蓋了一般的三餐時間。晚餐時間如果多點一份，還可以當消夜。非常方便。

1補：在某個滿分堡都賣完的假日，點了丹麥堡試試。意外地好吃，絕對會再回購。",這個路段僅有的連鎖早餐店，假日人多，而且有接外送訂單。但櫃檯阿姨的點餐速度太慢（據說是電腦慢），還要唸菜單跟她聽，那我畫菜單幹嘛？所以排隊點餐的人會等很久。,店面很漂亮，餐點也不錯，但點餐時候可以不要一副客人來找麻煩的臉嗎，不想做可以換工作吧？,"用餐環境蠻好的，可惜我臨停必須外帶餐點~
出餐速度如果能再快點，真的就太好了！",拿鐵味道非常非常淡，到底是加了多少水? 要省成本也不是這樣，小七的還比較好喝。未來不會再光顧...
西式/美式,早午餐,ChIJK8xu34qpQjQRS9iu71heV3g,土司吐司 ToasToasT（公館店）,吐司不酥，裡面還有頭髮...,食物不差 ，態度也真的夠差,"因為這幾天突然很想吃有花生醬的烤吐司，看到這間是用有顆粒的福源花生醬特別跑來！
買回去才發現根本沒有啊

打電話跟店家反應，結果店家告知：因為我們花生醬只抹單片而且是「薄薄的一層」，製作同仁很確定有抹

如果想吃花生醬的可以考慮別間，不知道花生醬是薄到沒有存在感還是真的沒有

這次點全麥超嫩雞腿，吐司本身不錯，雞腿有點鹹，花生醬就是完全QQ下次可能換其他口味試試","補充回覆店家的回應：
我不是假帳號，我的帳號評價都是貨真價實的，不用先急著把批評講成假帳號。即使戴口罩也可感受出眼神跟講話的口氣，我想這不用我說，同時也提醒店家不是戴口罩就可以態度差。

餐點口味普通，沒有好吃到可以臉那麼臭，態度這麼差。
所有店員臉都非常臭，很像客人有欠他們錢一樣，上班是一件很痛苦的是，買早餐可以讓大家都心情好一點嗎?","愛店，每次幾乎都點超濃起司
那天如果財富自由就會再點一杯鮮奶茶，好好喝"
西式/美式,早午餐,ChIJNRZhlMKpQjQR6DhVFM7_eRw,慶三號烤肉倉庫早午餐,"剛剛去買早餐，買了四份烤吐司和一份酥炸餃子，等了很久後面買更多的人群們都已經出餐離開了，但我們餐點就是始終未完成，前去詢問他們才說啊啊你還有一份餃子那要比較久...，然後幫我們點餐的那位服務員立刻龜縮到旁邊，而另一位服務員則低調的把餃子丟入油鍋
你道個歉說你們忙中有所疏忽忘記了不行嗎！一份餃子炸個20幾分鐘不會變成木炭？？！？

回家後烤土司都變軟吐司，那份炸了20幾分鐘的餃子餃子拿起來下面是這樣，看到那發黑的油，或許我真該相信那餃子真的在油鍋裡待了二十多分鐘喔！",態度超差,"9/11 14:00抵達貴店
第一次來這家 不知道這家早午餐休息了沒
兩個店員一男一女 看了我一眼當沒看到 繼續洗自己的東西 站在點餐地方看了菜單一分鐘 完全沒人理會 問了一句 還有嗎 男店員態度超差正眼都沒看我就不耐煩回說 沒有了
菜單上也不會寫營業時間 人也跟啞巴一樣
啞巴也沒你態度差
真是令人不敢恭維","記得都會用男星女星來稱呼外帶客人，有一位店員也很有精神地點餐～
嗚嗚… 搬家了…",近期菜單價格似有變動，今天買了小男孩牛五花三明治。肉的部分有焦味，感覺沒有以前好吃……希望能多加油。
西式/美式,早午餐,ChIJk9oTpoWpQjQRuxUrQ9ka97Y,美而美早午餐,早餐午餐省錢又快速的美味！,在學生宿舍裡面，外面的人不易知道,三明治卡拉雞口味跟薯餅口味還行 20$-30$之間 ，飲料普通 薏仁漿豆漿不錯，奶茶尚可,佛心公司，鮮奶茶好喝,師大男一舍美而美早午餐 好吃 很多學生早餐午餐的好選擇
素食/健康,低GI,ChIJu4qIP0epQjQRRbcJFrcHVrs,Miss Energy 能量小姐 台北公館店,"牛腱130.5
有3大片，軟又帶點嚼勁，算是好吃，調味也適中，不會太鹹&太甜，這幾天連續吃了兩次，也沒有之前來的乾柴情形，可惜尖峰時期便當包好無法調整
單點牛腱(約97g)80
-----2020/11再訪

牛腱便當130
紫米飯維持Miss一貫煮法偏軟爛，菜不會太油膩，大多是蒜末調味的味道，半顆蛋是溏心蛋，還不錯吃，牛腱有入味，但是很柴非常難咬斷 ，吃的很辛苦，地瓜整塊濕濕的，吃起來不太舒服

2018年6月重慶店開幕時，吃到牛腱便當後，因此愛上滷牛腱軟嫩的口感，後來每次去吃的品質都不太一致，有時候軟嫩入味，有時候乾柴難咬，但是今天公館店購買的便當，真的是我吃過最乾柴，要用蠻力抓緊筷子才能咬斷的程度
既然牛腱從一開始120漲價到130，也一家家擴店，希望店家能將品質維護好","一直都有耳聞，今天終於來吃啦
店內大約9、10個座位而已，不過大部分的人都是外帶；到的時候有很多人排隊，還排到店外，不過很快就輪到我了

我今天點的是蒜泥豬里肌，有附筷子。
裡面除了豬肉以外還有紫米飯、一塊地瓜、高麗菜跟其他配菜，看起來少少的但吃完真的蠻有飽足感的，而且熱量不到500大卡，如果要控制熱量的話真的很推薦，就算天天吃也不會膩。

另外他的筷子跟一般的免洗筷不一樣，材質很特別、聞起來也很香，可以看出這家店的用心！","已經第三次吃到近乎生肉的雞胸肉
真的不能為了口感不把東西煮熟啊...
但附近只有這間低GI
只能拿回來自己再用熱水燙了...
唉
什麼時候會有別間呢...","整體很好，推薦豬、魚、牛便當
扣兩顆星緣故：
1 雞肉便當過生，有時都不確定是口感好還是半熟了
2 湯竟然是沒有持續加熱的，每次喝到的溫度不一，有時只是微溫而已","東西不錯，可惜我最近幾個月幾乎都買不到蒜泥豬，一次兩次也許運氣不好備貨不足....但是這幾個月我幾乎有8成以上機率都買不到

不過反應後已經改善"
日式料理,拉麵,ChIJ9eASooupQjQRTsk8akzNros,十二巷拉麵,非常非常非常好吃，來吃好幾次了，每一次用餐都十分滿意。尤其唐揚雞塊真的是必點，好吃到全部吃光光！,"麵裡有蟲，店員幫你換湯我問號
超小杯雪碧35",特製豚骨拉麵很好吃喔～以後還會再去吃的！！！,"咖哩好難吃 是用那種台灣便宜咖哩塊做的
拉麵還可以 才100初也不要求什麼
不過咖哩真的好難吃...",2020 10 7公館三鼎那附近都吃差不多了，找到這間拉麵店點了招牌的豚骨拉麵可選湯頭，白濃、醬油等，這樣才138在公館來講算便宜了，麵條偏像台式鐵板麵湯頭不錯味道濃郁雖然不道地，比較清淡點沒那麼鹹豚骨味較淡，豚骨肉軟還可以，玉子蛋白Q還不錯
日式料理,拉麵,ChIJTZyavYWpQjQR46DZJP7lplQ,元日本豚骨拉麵,真的好吃沒話說。,"麵、湯味道普通，吃的飽，炸雞份量很夠味道也不錯。
但價格也反應在上面就是了。",點了香蒜豚骨拉麵、炸雞，拉麵湯頭濃郁，麵的口感適中，麵份量足夠，缺點是肉一片且非常單薄，整體CP值不高；炸雞部分多汁好吃；但似乎人手不足，出餐極慢，此外，環境擁擠，冷靜似乎只是送風，很熱，整體而言，食物方面可以給到4.5至5星，但環境太扣分，給3星。,"冬天若沒開空調又沒坐到電扇下的位子,吃拉麵會大噴汗並吃得一肚子火","我就給這個厚切叉燒4分！真的厚真的真的飽
結論：是家庭餐館的感覺；）量多、平價的一個選擇。"
日式料理,拉麵,ChIJCRRhyY-pQjQR1bZ3_CKgeMU,海拉麵,"感謝中午小舅子請客吃海拉麵，店家自己熬的魚雞高湯非常濃郁滑順，很特別的口感，還不錯！
2018/06更新
隔了九個月再次造訪，湯頭依然濃郁，價格依然合理，品質維持得不錯，相當推薦！
2020/06更新
因應疫情座位上多了透明壓克力板隔離，看得出店家的用心。味道一如往昔，足見店家在師大商圈這個一級戰區還可以存活這麼久，一定有其獨到的風味可以跟人分享。路過不要錯過！",幾個月前吃過他隔壁鄰居雞二拉麵，這次換吃海拉麵，首先是服務態度，服務態度很棒，店員人很客氣，會端茶給等待中的客人飲用，而帶位的程序也不會混亂，再來是價格，這裡的價格在拉麵中不貴，而我這次點的是醬油雞汁拉麵，硬度為硬，鹹度鹹口，有加1團。而實際端上來時，先從湯喝起，湯的部分夠濃稠，但不知道為什麼總覺得味道不夠，下次來可能會點最鹹試試看，而麵的硬度的確是我喜歡的那種鹹，而叉燒的部分我覺得也是味道偏淡，且感覺有點無法跟拉麵本體配合得很好，而筍乾好吃，加麵的部分則是真的很多，下次加半團大概就夠了，店內環境相當舒適，有飲水機可以裝水，這次我給3顆星，但我下次來換個口味如果對味了，這家或許有4星的潛力。,"20201020『濃厚鰹魚雞汁白湯拉麵+兩片叉燒+溏心蛋』

細麵的嚼勁十足，其吸附湯汁的能力一般
湯頭的鮮味明顯、濃厚程度適中
鹹度並不會過鹹，但碗底有少許鹽巴殘留
叉燒肉非常出色，每一塊都有相當的厚度
外層滑順，肉質極為軟嫩而帶有甜味
筍乾切得大小並不一致，微甜微脆
溏心蛋的熟度恰好，甜度與稠度稍稍有一點不足
玉米的甜味和口感與湯頭很搭
青蔥的配置換成洋蔥丁或許會別有一番風味","整體來說很清淡，湯頭沒什麼特別的雞湯或是魚味，可能要吃單一口味比較明顯叉燒肉比較像是燉肉，很軟入口方便，但也還是同樣感覺，沒什麼味道…
反倒，干貝唇小菜感覺已經弄好很久的感覺，甜味很重很重，量是給的頗足。

這間生意真的很好，每次經過都客滿，人流量很大開店一小時售罄，下次不貪心，喝雞湯口味再試試看吧～","衝著雞跟魚主要的味道就過來了，就口味而言我個人不到滿分（4分），可能我吃重鹹重濃吧！
不過因為服務態度很好，我個人吃重鹹，跟老闆要鹽巴，他給我適量鹽水，很棒！馬上達到我要的味道，這點很貼心。
很大一碗，整體算好吃！沒什麼好挑剔的！想吃拉麵就過來吧！"
日式料理,拉麵,ChIJyybqb1ypQjQR-rZzBnj_Sdw,真劍拉麵,"店內座位不多（7個左右），晚餐時間需要排30分鐘甚至到一小時以上。只收現金（用機器付款）。
整體而言，服務不錯，可以免費加半球或一球麵，湯太鹹也可以加清湯。
餐點口味部分：
最棒的是雞肉很嫩！可惜的地方是麵條，偏硬的麵條口感與拉麵湯頭感覺有些違和（連愛吃細硬麵的朋友都有同感）

鹽味翠雞拉麵：網美拉麵。加了蝶豆花的藍色湯頭，雞湯湯頭不會過鹹，麵中有附檸檬片可以額外加些許檸檬汁（讓湯頭有檸檬的清爽香氣，也會讓湯的顏色轉為紫色）
醬油雞湯拉麵：朋友覺得湯太鹹，類似日本當地口味那種程度的鹹。需要加清湯去稀釋。","用心但不特別的一間店。
除了有蝶豆花的顏色可能可以當成加上0.1分的特色之外，如果要以食物來說，我真心覺得過鹹及過油，特別是我還是一個吃得很重鹹的人。
肉很多，種類也多，但是問題就是太多，破壞了一切的平衡。麵體煮得熟度算剛好，但本質就不是特別好吃的麵體。我們三碗都點了，翠雞的已經覺得有點鹹，更別說是醬油的。豚骨超級油，吃到最後膩到有點想吐的感覺。
說實在這間店的用心是可以感覺的出來的，在肉上面的層次，湯的特色，蔥白的細膩，都很不錯，但我覺得就是整體的平衡完全過頭，肉太搶戲，湯又想當主角，麵體應該是主食但相對有夠弱。加上桌子沒有擦乾淨，位子又很擠。
總之，我沒吃完。下次也不會去。","湯頭種類不多不少剛剛好，不會像有些二流的店，光是看菜單，就讓顧客陷入嚴重的選擇焦慮。
不論是哪一種湯頭，都做得很好很完整，且能夠有自己的特色，相當不容易。
不論你吃拉麵是偏愛濃湯或是偏愛清澈湯頭，相信真劍都可以滿足你當天的慾望。

個人覺得最棒的是，真劍是一家我願意推薦朋友，甚至親自帶他們進店的拉麵店；不僅因為真劍的湯頭種類濃淡皆有，可以滿足不同顧客的需求，也因為真劍始終維持高水準的表現，帶朋友去當然不會丟臉！

唯一算得上缺點的地方，就是人潮眾多但座位數並不多，因此若要多人（超過二人）用餐，建議在開店前便開始排隊，搶在開店第一批進去，這樣是最保險的作法。","熱門的餐廳，往往經過都會看到長長人龍，而我們是在下大雨的平日，18：00左右到訪，大約等不到15分鐘便入坐了
店家有告示提醒，必須人數到齊後再排隊，輪到自己入內時，首先要去販賣機前面點餐，餐點有三樣可選擇 (醬油雞湯240元、豚骨260元、鹽味翠雞250元)，結帳時可以使用統編、載具(在機台右下角掃描)，之後餐券列印出來，交給店員即可

★鹽味翠雞拉麵：
店員端上來時，會提醒將檸檬片先從碗中拿出，有需要再擠入湯裡面。
拉麵湯頭入口後，有濃郁雞肉香氣，喝起來並不會覺得油膩，可以一路喝到見碗底，同時因湯有使用蝶豆花，擠入檸檬汁後會變色，同時也變成另一種風味，可以舀一湯匙試著這樣做看看。
麵條屬於細麵，有嚼勁，並不會太軟爛，舒肥雞胸肉軟嫩多汁，碗內還有一顆溏心蛋，用筷子劃開，搭配麵條、蔥白、湯頭或雞胸都非常合適！
非常建議加湯與加麵，兩者皆可免費加，口頭告知店員即可

★豚骨拉麵：
是以往常吃到的經典日本口味，湯頭非常非常濃郁，但並不會死鹹，喝湯時會喝到極度細碎的肉屑，同時也感受到炙燒豬肉片的焦香氣，而豚骨湯獨特的臭味並不會太濃，整體來說很適合嘗試看看。
碗內有溏心蛋、炙燒過的三層肉、叉燒肉片、洋蔥綠蔥等，與鹽味翠雞的蔥白等配料做出區分。  據朋友說法，叉燒肉軟嫩滑順，不會乾柴，而炙燒的三層肉，散發出的焦香味則替整碗麵增添特殊的香氣
要提醒一下，口味沒那麼重的人，湯喝多了可能會覺得膩，建議喝到一半可請店家加湯加麵，加的湯是無鹽調味的高湯，店員會提醒邊攪拌碗裡的湯，邊慢慢加入，而新放入的麵條，又重新吸收湯汁，能夠再吃一輪！","202020408『豚骨拉麵』

細麵的吸汁能力中上，加麵初期略硬而無入味
待兩分鐘左右後便濃厚如原先盛於碗內之麵條
青蔥、筍乾、海苔皆出色地完成去油膩的責任
溏心蛋表現得可圈可點，屬高品質之作

叉燒分為兩部份，紅肉薄片毫不油膩，相當清爽
厚切塊狀者肥瘦參半，亦不會過於油膩
肉質極細緻且不柴，入口沒有感到絲毫負擔
加一球麵時，整盤的麵條著實嚇到我了
建議以不加麵為原則，半球麵為非必要時的界限

20200703『醬油雞湯拉麵』

二訪選擇的醬油系湯頭相對清爽許多
雞湯的加入讓湯頭不會死鹹而麻痺舌頭
麵條Q彈有勁且吸附湯汁能力佳
較肥的一塊叉燒入口即化，肥瘦比例跟嫩度正好
薄片舒肥叉燒的調味足夠
另有少許塊狀叉燒隱藏在碗底

點綴的青蔥絲和海苔表現平平
筍乾相當入味，生洋蔥著實發揮去膩的功效
溏心蛋的熟度與稠度皆在水準之上
加了一球偏軟的麵，硬度剛好、份量剛好
看來依據湯頭的選擇，所需加麵份量也有所不同"
日式料理,拉麵,ChIJPcmlg4upQjQRk6lTJ-goJ5w,Mr. 拉麵野崎家,原本有些期待，但吃了就滿滿負能量上升,服務普，長相普，品質普...震撼腦髓,炸雞很好吃，其實沒感受到google評論裡那麼糟的體驗,"難得給負評一定要說明一下理由，抱著期待的心情來這家拉麵店，等了約莫40分鐘，別人比我們慢來的都上菜了，我們卻繼續等，小朋友餓到哭，等沒關係，但我們抱怨了一下為什麼別2桌比我們慢點的都來了我們怎麼還沒來，店員的態度很差(女生，男生不會，我是針對那個女服務員)，她問了問下個單是我們的，好，我們繼續等(通常店員應該是跟我們解釋就好，我們可以接受)，接下來終於來了，她麵竟然用摔的，是因為麵碗是鐵的碗就可以這樣摔嗎？，我們已經等了一肚子氣看到麵用摔的更不爽！
接下來才是食品評論：麵湯頭太甜，似乎是被太甜的腌筍乾破壞，叉燒乾柴
醬油口味的拉麵太鹹無法喝湯
炸雞很大塊有汁還可接受，但是沒有胡椒鹽之類的第一口會吃得到雞的腥味
以上

我！不！會！再！去！了！

員工訓練有待加強，員工素質……","今天點的是 極.Mr 拉麵 ，叉燒很好吃，湯頭太甜，台式甜。
吃到一半才發現菜單上說可以調整口味，店員可能忘記講了。

時隔一年路過再來，這次點的是熊本拉麵（加黑蒜油）。
再次好奇湯裡到底加了多少糖"
日式料理,拉麵,ChIJva8-I3OpQjQR9guyX9dfuZA,雞二拉麵 師大店,跟本店味道差很多，建議去本店吃...,點雞白湯記得講做“淡”一點,"2020.12.07 = ★★★★☆
推薦：小雞二醬油拉麵.細。
提醒：份量真的很多，大雞二拉麵不是正常人吃得下。建議男生=小雞二，女生=小小雞二。
湯頭口味相當厚實，不過細緻度不足；叉燒夠厚；總之能吃的很飽。
牢騷：麵條是【雞二拉麵】的短版，尤其是粗麵不要輕易嘗試。
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
湯頭 ◆◆◆◆◆◆◆◇◇◇
麵條 ◆◆◆◆◆◇◇◇◇◇
叉燒 ◆◆◆◆◆◆◆◇◇◇
整體 ◆◆◆◆◆◆◇◇◇◇
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
拉麵第42間，來到【雞二拉麵】的師大店。原本想要吃【海拉麵】的，無奈已經提早售完，只好走一段來到【雞二】。【雞二】今年二月吃過一次，印象很差。單品不差，但是組合的很糟糕，尤其是粗麵條用烏龍麵真的很糟糕。這次到師大店12:55，要候位，等約12分鐘。期間點餐時，按照店員推薦的小雞二+細麵好了。

小雞二醬油拉麵.細(189元) = 份量就是一般正常拉麵偏多一點，但不像上次2.7公斤那樣誇張。湯頭，唉唷唷，味道醇厚，在嘴巴裡有黏稠的感覺，雖然蒜頭亂撒，實在太搶戲了，但整體厚重甘甜的味道還是有的不算差勁。麵條部分，細麵..雖然店員表示會煮的硬一點，但這種硬度跟是拉麵那種有點脆脆的口感不同，感覺有點像是油麵那種沒煮熟透偏硬的感覺，有點Q，咬起來有點黏跟有點甜度，說好不好但比上次悲劇式的粗面好多了。書肥叉燒，三塊，切得算厚，意外有甜度，咀嚼之間也是有點鮮味，比上次印象中的好。半熟蛋普普，大量豆芽菜跟筍絲增加了飽足感。吃完，真的有點飽，同樣，味道不細緻，但至少對得起價格了，5.5分。"," IG搜尋：as_born.to.eat

美味程度：
上餐速度：
環境衛生：
服務態度：

鹽味小雞二 $189
一上桌會先驚艷一下，料整個滿超過碗，雖然有聽說小雞二已是外面拉麵的大碗，但還是覺得很大碗，整體看起來很豐盛，一般女生應該吃不完一碗。麵條偏硬，不太吸附湯汁，湯頭部分有點少，整碗幾乎都是料，單喝味道ok，搭配拉麵就有點太淡，吃起來稍嫌無味。蔬菜部分給了很多豆芽菜，搭配拉麵口感很好，很清爽，只是洋蔥給的好像比較少，搭配湯頭吃不太到洋蔥的口感有點可惜。叉燒部分應該有先醃過，厚度滿厚，有點韌，鹹度偏鹹，黑胡椒味很重。溏心蛋一碗會給半顆，蛋黃有個奇怪的甜味，個人不是很喜歡。整體味道普通，但份量很多，喜歡大份量拉麵的人可以來嘗試看看。

醬油小雞二 $189
整體如上，湯頭蒜味偏重，味道濃郁但不夠鹹。

平日晚上約六點多到店用餐，一樓已有許多在等待入座的客人，一樓放有點餐的機器，要先排隊點餐結帳，會有專人在旁協助滿貼心的，付帳後會拿到一張餐卷，再到旁邊等待區等候叫號上樓，等待時間約25分鐘左右。上樓入座後把餐卷給師傅，師傅就會開始準備餐點，上菜速度還行，不算快，店內格局滿奇怪的。",麵真的好大碗 服務很不錯
日式料理,拉麵,ChIJdUa2QeapQjQRwWxktmaUK2Q,匠麵殿拉麵專門店,"2020.12.06 = ★★★☆☆
推薦：腱子骨拉麵。
提醒：腱子肉軟，有特殊甜味，骨肉易分離。最重要的是，份量很足!! 
牢騷：雖然嚐得出很多地方有巧思，但整體細緻度還是不足。
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
湯頭 ◆◆◆◆◆◆◇◇◇◇
麵條 ◆◆◆◆◆◇◇◇◇◇
叉燒 ◆◆◆◆◆◆◆◇◇◇
整體 ◆◆◆◆◆◆◇◇◇◇
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
拉麵第41碗，來到【匠麵殿拉麵專門店】。【匠麵殿】在泰順街，中午造訪時，客人數不多。門口寫著濃白湯~淡口?? 不知是啥意思。看了菜單，選了肉看起來最多的腱子骨拉麵。可以免費加麵。

腱子骨拉麵(240元) = 選了濃+硬。上桌，兩個腱子骨看起來份量不錯，有【麵屋武藏】泰刀拉麵的感覺。先喝湯頭，ㄟ...湯頭有濃郁的豚骨風味，然後，有點...酒味?? 味道很厚重，但總覺得少了點細緻度，嘴底沒有厚實的感覺；蔥不好吃，味道也太搶戲。麵條，入口，ㄟ...很難說明那種感覺，麵條說硬有硬，有Q，滑順，咀嚼也有甜味，但就是沒有覺得好吃，奇怪。腱子骨的部分，外觀看起來超乾柴，咬起來卻是軟的，骨頭也能夠很輕易的跟肉分離。肉本身有股特別的甜味，不是肉本身的甘甜，有醃過?? 肉的分量多且不錯吃。糖心蛋，有加糖吧，真的很甜，熟度可以。整體來說，細緻度整體不足，但是大口吃肉跟大口吃麵，滿足感還是有的，5.5分。雖然嚐得出很多地方有巧思，但整體細緻度還是不足。沒有前幾天【麵屋 秋匠】那種讓人Wow一聲的感慨。","店員會很熱情的詢問要不要加麵~~(我覺得不錯!怕有人授受不清……

是屬於中高cp值的拉麵，好像不用擔心吃不飽的問題(因為有點叉燒飯嘛~

叉燒飯調味希望待加強，叉燒飯的叉燒不錯(是適合吃較淡的人ㄟ選擇~","這次點了擔擔叉燒，麵選了""硬""，相當有口感，微捲的麵體滿能巴住湯汁個人非常喜歡。喝第一口湯，覺得有在吃日本拉麵的感覺，稍微有點鹹(可能是因為加了擔擔)但還滿好入口。
吃到一半店員很熱心地詢問是否需要加麵，怕一球太多也可以只加半球。",普通，叉燒好吃，筍乾偏甜，蔥另外放在湯匙上小加分,"湯頭好喝，麵條口感很q,還能免費加麵"
